Game Data from Excel:
================================================================================
Row 0: ('ModelOff 2016 - Round 1 - Section 3', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
Row 5198: (None, None, 5190, 2595, 4, 6, 2, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5199: (None, None, 5191, 2596, 6, 3, 3, 3, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5200: (None, None, 5192, 2596, 5, 6, 1, 2, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5201: (None, None, 5193, 2597, 5, 5, 6, 5, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5202: (None, None, 5194, 2597, 4, 5, 3, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5203: (None, None, 5195, 2598, 5, 4, 3, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5204: (None, None, 5196, 2598, 3, 2, 5, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5205: (None, None, 5197, 2599, 5, 5, 3, 3, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5206: (None, None, 5198, 2599, 3, 1, 2, 3, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5207: (None, None, 5199, 2600, 5, 1, 1, 6, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5208: (None, None, 5200, 2600, 4, 3, 1, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5209: (None, None, 5201, 2601, 1, 5, 2, 1, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5210: (None, None, 5202, 2601, 2, 5, 2, 3, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5211: (None, None, 5203, 2602, 3, 4, 3, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5212: (None, None, 5204, 2602, 2, 3, 2, 3, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5213: (None, None, 5205, 2603, 3, 6, 1, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5214: (None, None, 5206, 2603, 3, 6, 6, 1, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5215: (None, None, 5207, 2604, 3, 4, 5, 6, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5216: (None, None, 5208, 2604, 5, 5, 3, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5217: (None, None, 5209, 2605, 6, 5, 6, 5, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5218: (None, None, 5210, 2605, 3, 1, 3, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5219: (None, None, 5211, 2606, 2, 5, 2, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5220: (None, None, 5212, 2606, 4, 2, 1, 4, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5221: (None, None, 5213, 2607, 1, 3, 3, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5222: (None, None, 5214, 2607, 6, 1, 2, 3, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5223: (None, None, 5215, 2608, 6, 1, 6, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5224: (None, None, 5216, 2608, 6, 5, 4, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5225: (None, None, 5217, 2609, 2, 1, 6, 3, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5226: (None, None, 5218, 2609, 2, 4, 2, 4, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5227: (None, None, 5219, 2610, 2, 5, 5, 6, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5228: (None, None, 5220, 2610, 1, 3, 3, 5, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5229: (None, None, 5221, 2611, 4, 4, 5, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5230: (None, None, 5222, 2611, 6, 3, 2, 4, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5231: (None, None, 5223, 2612, 2, 2, 1, 4, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5232: (None, None, 5224, 2612, 3, 1, 4, 6, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5233: (None, None, 5225, 2613, 6, 5, 4, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5234: (None, None, 5226, 2613, 3, 6, 6, 4, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5235: (None, None, 5227, 2614, 3, 3, 6, 6, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5236: (None, None, 5228, 2614, 5, 6, 5, 1, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5237: (None, None, 5229, 2615, 5, 4, 3, 5, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5238: (None, None, 5230, 2615, 1, 1, 3, 5, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5239: (None, None, 5231, 2616, 5, 1, 4, 4, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5240: (None, None, 5232, 2616, 6, 4, 5, 5, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5241: (None, None, 5233, 2617, 3, 5, 3, 3, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5242: (None, None, 5234, 2617, 6, 6, 2, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5243: (None, None, 5235, 2618, 1, 1, 4, 3, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5244: (None, None, 5236, 2618, 2, 2, 6, 1, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5245: (None, None, 5237, 2619, 2, 4, 4, 5, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5246: (None, None, 5238, 2619, 4, 5, 5, 3, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5247: (None, None, 5239, 2620, 5, 5, 4, 5, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5248: (None, None, 5240, 2620, 4, 3, 2, 1, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5249: (None, None, 5241, 2621, 5, 6, 5, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5250: (None, None, 5242, 2621, 4, 2, 6, 5, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5251: (None, None, 5243, 2622, 1, 2, 2, 3, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5252: (None, None, 5244, 2622, 1, 4, 6, 3, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5253: (None, None, 5245, 2623, 2, 6, 3, 4, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5254: (None, None, 5246, 2623, 1, 6, 4, 3, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5255: (None, None, 5247, 2624, 1, 2, 3, 1, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5256: (None, None, 5248, 2624, 4, 6, 1, 5, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5257: (None, None, 5249, 2625, 4, 4, 4, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5258: (None, None, 5250, 2625, 3, 3, 3, 6, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5259: (None, None, 5251, 2626, 4, 5, 1, 5, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5260: (None, None, 5252, 2626, 4, 4, 4, 3, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5261: (None, None, 5253, 2627, 5, 3, 5, 2, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5262: (None, None, 5254, 2627, 3, 5, 6, 1, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5263: (None, None, 5255, 2628, 6, 3, 3, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5264: (None, None, 5256, 2628, 4, 3, 5, 3, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5265: (None, None, 5257, 2629, 5, 5, 5, 6, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5266: (None, None, 5258, 2629, 3, 6, 5, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5267: (None, None, 5259, 2630, 2, 5, 4, 6, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5268: (None, None, 5260, 2630, 5, 4, 5, 3, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5269: (None, None, 5261, 2631, 3, 1, 5, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5270: (None, None, 5262, 2631, 6, 4, 2, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5271: (None, None, 5263, 2632, 2, 2, 5, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5272: (None, None, 5264, 2632, 5, 4, 1, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5273: (None, None, 5265, 2633, 1, 3, 4, 4, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5274: (None, None, 5266, 2633, 4, 1, 5, 4, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5275: (None, None, 5267, 2634, 4, 5, 1, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5276: (None, None, 5268, 2634, 2, 1, 5, 4, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5277: (None, None, 5269, 2635, 3, 5, 4, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5278: (None, None, 5270, 2635, 2, 6, 5, 1, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5279: (None, None, 5271, 2636, 4, 5, 1, 6, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5280: (None, None, 5272, 2636, 3, 4, 4, 4, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5281: (None, None, 5273, 2637, 5, 1, 4, 3, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5282: (None, None, 5274, 2637, 5, 5, 4, 1, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5283: (None, None, 5275, 2638, 4, 5, 3, 6, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5284: (None, None, 5276, 2638, 6, 6, 1, 1, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5285: (None, None, 5277, 2639, 2, 6, 1, 2, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5286: (None, None, 5278, 2639, 4, 2, 3, 2, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5287: (None, None, 5279, 2640, 6, 3, 2, 2, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5288: (None, None, 5280, 2640, 4, 5, 5, 3, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5289: (None, None, 5281, 2641, 4, 1, 4, 1, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5290: (None, None, 5282, 2641, 2, 6, 4, 3, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5291: (None, None, 5283, 2642, 4, 5, 2, 6, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5292: (None, None, 5284, 2642, 3, 2, 3, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5293: (None, None, 5285, 2643, 4, 5, 6, 2, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5294: (None, None, 5286, 2643, 3, 3, 6, 5, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5295: (None, None, 5287, 2644, 6, 1, 3, 3, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5296: (None, None, 5288, 2644, 6, 4, 3, 3, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5297: (None, None, 5289, 2645, 4, 4, 4, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5298: (None, None, 5290, 2645, 4, 6, 6, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5299: (None, None, 5291, 2646, 2, 2, 2, 4, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5300: (None, None, 5292, 2646, 4, 5, 1, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5301: (None, None, 5293, 2647, 4, 4, 1, 4, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5302: (None, None, 5294, 2647, 6, 1, 6, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5303: (None, None, 5295, 2648, 4, 3, 5, 3, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5304: (None, None, 5296, 2648, 3, 3, 1, 2, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5305: (None, None, 5297, 2649, 6, 4, 2, 3, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5306: (None, None, 5298, 2649, 3, 1, 1, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5307: (None, None, 5299, 2650, 6, 3, 4, 4, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5308: (None, None, 5300, 2650, 3, 2, 2, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5309: (None, None, 5301, 2651, 3, 2, 2, 2, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5310: (None, None, 5302, 2651, 4, 1, 4, 3, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5311: (None, None, 5303, 2652, 2, 3, 4, 3, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5312: (None, None, 5304, 2652, 3, 3, 6, 2, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5313: (None, None, 5305, 2653, 5, 1, 1, 2, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5314: (None, None, 5306, 2653, 5, 6, 5, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5315: (None, None, 5307, 2654, 6, 5, 4, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5316: (None, None, 5308, 2654, 3, 1, 6, 5, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5317: (None, None, 5309, 2655, 4, 2, 2, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5318: (None, None, 5310, 2655, 3, 6, 4, 6, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5319: (None, None, 5311, 2656, 2, 6, 5, 4, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5320: (None, None, 5312, 2656, 2, 6, 6, 1, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5321: (None, None, 5313, 2657, 5, 2, 4, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5322: (None, None, 5314, 2657, 1, 1, 6, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5323: (None, None, 5315, 2658, 5, 4, 6, 3, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5324: (None, None, 5316, 2658, 2, 4, 5, 1, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5325: (None, None, 5317, 2659, 6, 6, 6, 5, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5326: (None, None, 5318, 2659, 3, 5, 3, 2, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5327: (None, None, 5319, 2660, 4, 3, 6, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5328: (None, None, 5320, 2660, 5, 4, 1, 6, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5329: (None, None, 5321, 2661, 6, 2, 4, 1, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5330: (None, None, 5322, 2661, 4, 5, 6, 4, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5331: (None, None, 5323, 2662, 5, 4, 4, 6, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5332: (None, None, 5324, 2662, 1, 6, 5, 4, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5333: (None, None, 5325, 2663, 6, 1, 4, 1, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5334: (None, None, 5326, 2663, 1, 5, 4, 1, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5335: (None, None, 5327, 2664, 2, 6, 3, 4, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5336: (None, None, 5328, 2664, 6, 1, 2, 4, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5337: (None, None, 5329, 2665, 1, 4, 6, 6, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5338: (None, None, 5330, 2665, 5, 5, 5, 1, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5339: (None, None, 5331, 2666, 3, 5, 2, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5340: (None, None, 5332, 2666, 1, 1, 1, 6, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5341: (None, None, 5333, 2667, 5, 6, 4, 3, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5342: (None, None, 5334, 2667, 5, 5, 6, 4, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5343: (None, None, 5335, 2668, 4, 1, 6, 6, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5344: (None, None, 5336, 2668, 5, 2, 6, 3, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5345: (None, None, 5337, 2669, 3, 6, 3, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
